element,kanjilist
弓,躬鰯彌拂彊蒻沸梯悌彎洟蚓廢鵜彁湾弾弧灣搦弦穹第鬻弘弱弥張嫋弼弯怫癈弭強發夷矧粥泓涕弟弸佛剃弔弛弩引繦銕襁窮姨弗弖髴鶸疆睇彿撥費俤溺漲狒嵶彈瀰痍
弔,梯悌鵜第涕弟剃睇俤
引,蚓矧
弗,拂沸怫佛髴彿費狒
弘,泓
弟,梯悌鵜涕剃睇俤
弯,湾
弱,鰯蒻搦嫋鶸溺嵶
張,漲
強,繦襁
彌,瀰
彎,灣
彑,篆亙彝恆彖喙彜掾碌櫞剝蠡彙縁冱互椽沍祿
当,档
彔,緑録
彖,篆喙掾櫞蠡縁椽
彗,慧
彡,衫醪髯髭髢鰺疹髣髮髪摎廖髦髟髫蔘彩須鬣諺鬢驂蓚戮穆繆鬱鬘顔顏滲寥膨餮樛殄鯵蓼鬚惨軫偐診澎鏐鬟慘趁杉膠鬆髻髴彬影彰彫尨髷簓彦彪珍參囓彭形参厖髱修勠袗畛謬
彦,諺顔顏偐
彫,簓
彭,膨澎
彳,鵆絎徳從徊従徇徒徽役衙律径徐徑葎待後蹤縱衢哘復徼征往徴徨縦衡徂徃得樅薇屐覆慫銜履行循彿桁聳衝衒徹徙徘術裄衞垳街彷徠很御愆衍衛微禦彼徭懲黴
律,葎
従,縦
從,蹤縱樅慫聳
御,禦
復,覆履
微,薇
徴,懲
心,総綛聹檸愈懣徳祕瞹愡恁恕悶恩恚靉忌必鐚獰濘撼懸軈密悲濾總愬忍愿悳恋恐謐偲窓惠鑢慂憩惡顋隠偬惣怠惚懃臆億憶憂憖樒穂急唸怱憲志態懇憾憊憇蟋寧穗穩蕊惹惑憑慝応噫忠曖懋慇穏戀棯應慶捻優忿忘慮怎蘂忽擾嚀慈瑟怨惷癒想痣慰慫慙隱轗鯰慧慾荵念秘腮憙思怒廰聰恵愁愛愨意息患廳悉蜜愍泌認愚恷聽恣悠稔熄鰓懿沁檍愆芯悪聡誌感葱懲櫁聴恙恥
忄,悚悗悃恨愴愡愼愉悖悍悛悔悴恃悼悩恂悵恍悁悌恆恒情愽懐愾愧恊悟悋悄悒悽惆懦恟惇罹怺憔慎慚忤忸快慍惜怯惚憚憎慨憺懍憶怡怙懆慌忖慟慄憾懊惧惓怫怦懌慊慓憐怪性惟怖慢忱忙忰慷慣懈惨惻惴惶怜怩怕慵慴憮慯惺怛怏怐憧慘慥慱惘惰慳憫憤忻憬惱懶愕懺愀懷恠恢懼愃愎懴悸恪恰恤悧恫懾懽恬悦
必,祕密謐樒瑟秘蜜泌櫁
忍,綛荵認
志,痣誌
忝,添
忩,総
念,唸棯捻鯰稔
忽,惚
思,濾偲鑢顋慮腮鰓
怱,愡偬葱
恣,懿
息,憩熄
恵,穂
悉,蟋
惟,罹
惠,穗
惡,鐚
愈,癒
意,臆億憶噫檍
愛,瞹靉曖
感,撼憾轗
慮,濾鑢
憂,優擾
應,軈
戈,蔵伐鵝誡畿韈摑贓饑臓臧濺誠鵞蹙義絨淺箋臟晟磯鍼箴撼娥閥孅筏践羲減戉戡襪鹹織纎哉曦纖幟戠殘戴戯藏踐歳犠戮戳截幗儀憾繊戲戦識議戰惑銭犧咸膕籖國戛戔残越莪餞餓俄殱戎戚讖幾籤鉞或戍殲譏戒域戝緘棧錢戞戊穢我戌轗栽蛾礒賤浅牋戟成賎懺嶬筬鐵鐡蟻鰔槭盞峩馘威懴峨機艤城裁械縅職蔑熾綫鰄哦感賊茂閾載桟喊盛找滅
戉,越鉞
戊,茂
戋,践銭残浅桟
戌,韈襪歳戍穢蔑滅
戍,畿韈饑磯鍼箴撼減襪鹹憾咸幾譏緘戌轗鰔威機縅蔑鰄感喊
戎,絨賊
成,誠晟筬城盛
我,鵝鵞義娥羲曦犠儀議犧莪餓俄蛾礒嶬蟻峩峨艤哦
戒,誡械
戔,濺淺箋殘踐餞棧錢賤牋賎盞綫
或,摑幗惑膕國域馘閾
戚,蹙槭
戠,織識職
戸,篇肇扁褊所煽鈩肩騙扇綟捩炉粐戻涙舮房枦翩顧編偏滬雇遍諞唳蝙扈芦綮扉啓
戻,綟捩涙唳
扁,篇褊騙翩編偏遍諞蝙
扇,煽
扈,滬
手,欅拏挈挙攣摩撃看拜擧搴掌襷掣擘拿拳湃承攀摯
扌,抜投攫攘抵才攤押箝撞撓摸握擇摑換挺撲撒抻攬扎技抔抛抂抖攪拂拍払閉豺按揖逝撰揚揮振擅揣財扨扛抗抃抓把択拊拇撕撩撼摂擁挿挫插摎撻拆批抽抒抄打扞挧操提擂挾挽撚箍哲抱担拌抑拭掖捩捜搾捕擬搦捨揃捏掃掎材拮拗拡捍掵掩掻推描捗擒搬掴揀擦掀掏掛拯招拠拔拐籀掟擢揄擣據拑括拓浙掾搶捐搭擡揆携擠捌擔掲擯排拒拝拷擱捻搆搓捉探拶授掠捺据擲捷擽擾揉捶採掉拵拙拱捲掬擺搨接搏擶搜捧掫掘拘犲搗擴控捫損措搖拾扮攅拈扣援挂揩摘拉扶抉攝扠挨撥撹揺摧持撫揶撤扼扱撈挑摺挌挟摶誓托抹抬晢撮播指攜找披折
才,閉豺財材犲
折,逝哲浙誓晢
拑,箝
拜,湃
擧,欅襷
支,妓技伎翅枝屐岐鼓鼕跂瞽肢
攴,政冦撒務放絛贅熬鰲徼徴倏檠寇攻繁蓚繖嗷救故驚竅薇敕牧敏警敖敍枚篠覈敗敲激鼇教敬薮螯緻傲数整霧遨敵敷散霰邀做改嫩檄筱攸徹撤悠致倣修脩條微懲滌
攵,巌瞥徽孜肇暾燉收鐓攷蔽藪廠暼鶩攴敞敝數赦斂籔鼈斃巖釐敦幤弊嚴澂敘效變螫儼幣傚轍敢瞰厰畋愍厳橄綮瀲啓黴
攸,絛倏蓚篠筱悠修脩條滌
放,贅熬鰲徼嗷竅敖覈激鼇螯傲遨邀檄倣
故,做
效,傚
敏,繁
敕,整嫩
敖,贅熬鰲嗷鼇螯傲遨
敝,瞥蔽暼鼈斃弊幣
敞,廠幤厰
敢,巌巖嚴儼瞰厳橄
散,撒繖霰
敦,暾燉鐓
敫,激
敬,檠驚警
数,薮
數,藪籔
斂,瀲
文,贇虔馼吝蚊悋斐剤斑斌緕斎顏済偐対紊斈紋憫斉閔旻
斉,剤緕斎済
斌,贇
斗,魁抖槲斟斜蝌萪科斛料斡蚪
斛,槲
斤,嶄廝柝逝鋲所蜥撕厮梹拆漸兵哲新慚釿皙噺掀塹析岳鏨斷浙斥斬訴浜丘邱圻斫泝斧質淅慙薪断斯匠忻芹暫祈嘶蚯躓近晰駈誓欣晢听沂槧折
斥,柝拆訴泝
斬,嶄漸慚塹鏨慙暫槧
斯,廝撕厮嘶
新,噺薪
方,旒謗放芳贅髣熬鰲徼旛妨葹旗圀旄舫旋斿紡旌旅嗷枋施旆竅籏嗾膂唹旃敖於房旁膀覈族磅游激餝遊榜鼇邊蝣螯傲傍錺遨訪鯲敷邀楞肪檄魴滂旙簇蒡閼鏃彷倣坊淤蔟防
於,唹鯲閼淤
施,葹
斿,遊
旁,謗膀磅榜傍滂蒡
旅,膂
旉,敷
族,嗾簇鏃蔟
旗,籏
旡,廐簪无既曁漑慨譖潛概蠶僭厩
既,漑慨概厩
日,罩謨羶竸奄竟旧電帽鰻褐胆縮漕詢暑晝爍晒壓堰堤蓍嘗摸葩徇都亘葛冪禺乾饅曄晞詣暄輹鐔鰉廟悍廐糧借羃煉旦體謁稲欄滉罨湶妲稽湯煮垣拍藕絏宴複蜴暝檪鮨棉疸娼混瀚菓冥揚鞭靼著擅洩蒔暾晄晋箟袙晟曇暇縵縉悼恂鶇鰭糟簪旬罎竭藐煦綽恒暗暃暎箔晨晏厭壜復徼菖撩挿貘瞭泉馨徨晩晁閹嶂筍篁暖鍠觴宿照藹藥稈湿竡旭煬坦勵鐐喧獪衵濳桿黯嵎晃暴堵豬提瀑得場哽曁愿爆畠暼時魄暁槽俺糢綿簡担艚瘍章穐寔幌幹線惠猩剿潭樟織腆曦曝春蘯凰韶捏塒膿昿潮惜楮榠幟楷戠癘殤温驀薀顆踝皙渚碍焔蕩白佰寮蝗猖蝎繚憎鯣腹曹臆壇捍韻墓掩億韵婚昧慕書腸蘭憶甑膾憂澣膓潴岶鑠緜緡粳焜百夥題穆竅皈顕隙偈舶陽廏鷯幎柏繝樂曠弼礫萱遼増響境萬赭昭曜昶鬘庵寓果寞螟陳識渇習穗翫踏陥楾粨幔鱆緒蟆裼轢巣諳蠍映曚昴是礪儂荀遭音掲菎噫昼蘰曖昵樔潦膜鯤覈蟇粕籍幕楽偶殉竃皓隍皇歇譖薈薯但榻錬鏝裹棔激曳甦星曾慢匙墹塲賜遇優囎儲墸曽曲昌裸櫓崑栢東耆錫嗜璋便藉皆譚階譜的障碣皐皋癇蕈惶鏥覆杳怕錦農諠潛濃澗昊易昇替賭擽擾遑莫掉昆慴曙慯腥屠潜櫟杲蝮惺者怛惷鱠練燗顫願譛顯硬療偕隰蝪覃唱層繪曩曼昂曵萌搨涅遏氈更明昃樶諸履鏡瑁猪傷碧皀隅皖偖薬鱧蝿錯剔蠣棹昜邁駻韓蓿措噌草邀臈昨昏曷昔憬腺模諧棟蠢蠶楊覩斡戟陌偃翰皃复皎皚盟藷僧簟絢珀暘漠狛梗晧袒暸暫鞜彙泊影禮亰児沓典鞨揩彰瞑冒暹梍晦闍檄卓意峺魯原棍朝募鰛鵲糲宣艪倬燎醒醋羯髷旱盪躇椣獏勦箸晰晤洵冐嫺馥香睹靨愃愎愚暦橸濕迫瓸軆湟署謾旨旻槹勗黶厚縄課脂暢晉亶豊冕靄摺瀦貌贈景檍暮晴桓職最鰆鰒帛褶瘴醴蔓量早奢醍溟旺倡源僭熾伯椙喝啅諌魘暉曉晢晶檀兜撮菴凍貊亀嘲指淹汨智闇普檜暈漫間會椿艶僚煌僣
旦,羶胆晝亘暄糧妲湯垣疸揚靼擅恒觴煬坦喧得場曁担瘍蘯殤碍蕩壇腸膓陽萱昼但塲諠慯怛顫蝪氈傷昜楊暘袒宣盪愃暢亶桓量檀
旧,稲焔陥児
旨,嘗詣稽鮨脂指
早,罩乾鐔廟瀚悼綽嶂章幹潭樟潮澣鱆璋譚障蕈掉覃棹韓草斡戟翰簟彰卓朝倬瘴啅嘲
旬,詢徇恂筍荀殉絢洵
旱,悍稈桿捍駻
昆,混箟焜菎鯤崑棍
昌,娼菖猖唱倡椙
明,萌盟
昏,婚棔
易,蜴鯣裼賜錫剔
昔,借惜籍藉錯措鵲醋
昜,湯揚觴煬場瘍蘯殤蕩腸膓陽塲慯蝪傷楊暘盪暢
星,猩腥惺醒
春,惷蠢鰆椿
昭,照
是,堤提寔題匙醍
時,蒔塒
晃,滉幌
晉,縉
普,譜
景,憬影
晶,橸
暴,瀑爆曝
曇,罎壜
曲,漕體糟槽艚腆膿曹儂遭農濃鱧禮典髷椣軆豊醴艶
曳,絏洩曵
更,鞭哽粳甦便硬梗峺
曷,褐葛謁竭藹蝎偈渇蠍掲歇碣遏臈鞨羯靄喝
曹,漕糟槽艚遭
曼,鰻饅縵鬘幔蘰鏝慢謾蔓漫
曽,憎甑増層噌僧贈
曾,囎
替,潜譛僣
最,樶撮
會,獪膾薈鱠繪檜
月,溯齟蔡羂肝育胆朦輸梢脱愈壓瀛撒臓愉峭縢筋朧柤廟肓砠體鵑肌背蜻肱畳臑祖壟兪脾狷脳臟哨胄宜肋悁宵酳蔣謂髓騰藤龕肛絹鶺肴情蛆脣厭贏静逍有肩悄組鷂龍肚鶻胃肺胎橢脈脯愬臚沮徂囿鞘撚狙脉鍮肖羆倩謄髑姐猜胥岨腆莇揃膰膿腓潮胤胸襲窰骼楡瑤胝鏘剪膝繃膽腑腹臆遙趙消萠擦塑餬腟腋腸膳蘢膾繖膊膓錆胞籐糊精覦髀骨髏髄骰渝粗胚膚屑繝膃膺腔菁遯揄遡態腕蛸臍臂膂耡蝓胖翦磆清胛胯膏膀臀腎膨炙租且捐霸霄膩膵膕膜蝟胡察硝踰然寵侑咀膸膤腦諭胱胙蝴雎陏骭滕渭癇偸籘棚腰腫腿弸腱腥覇削能楜楕隨燗隴癒硼随際渣隋苴俎墮萌擺擶腴明膣潸助猾瑜前槊榾籠骸滑散瑚胼瓏惰崩銷臉霰郁涓萓搖婿淆臈腮膠腺轍膈胴湖奬盟朞肪獎疽靖堋脹脅鋤誼疊朝燃謠醐蹐罷肘朋勝喻期聾詛脇臘誚脊冐嫺徹靜逾靨撤豚祭冑爼箙臙脆肥喩肬鵬煎阻瘉股朕勗將黶脂壻賄瀧睛娟脚晴鮹望朏肯朔宥喟瘠羸熊朖肢肭服魘箭鮪脩嘲葫青堕徭脛疂漿請査朗稍
有,肴囿髄侑陏随郁淆賄宥鮪堕
朋,繃萠棚弸硼崩堋鵬
服,箙
朔,溯愬塑遡槊
朕,騰謄
朝,廟潮嘲
木,稾欅謀酥悚椁検孀悃鰈朽柑柬魔檸梭梢桼魏爍靺速黐案檬橲桴橦獺某未柤椏椛椨休椀綵龝煉欟稲欄稽稘稿欒欝藜藕褓植本柝朱桶述檪縻鯏箱棉橿鮴橘私鞣菓禁嘛蓁靡茱乘沫秀爨爛橙梠档桷梯刹柞柧鶇鍬朿末染椚椎褒槻槨稱權頽竦磔稙髞稼槿様啾柚利朴柮蜥檢桾桧橡秋禿瀝茉鞦葆馨漆梹檮巍檣橈策柢宋椒槙糜藥欖稈稻稠湫湘頼椋椄柯朷机朮柔桿梧橢魅誘深禾堡彩操茶透菜摩困梦檠桙札朶椅槽椹椌槲煤種稷穐新焚藁糅枝楢業柆剰村剿栂栖篥樋樸澡樟痿秕秡霜麓樹樌麾栗樅栃柊材枳束床楮枇榠楷顆踝皙紮枌楡極親枅楼杆耙樓栩樞樊膝蛛痳噺霖莱菌揀秣銹昧痲蘭懍蠑憖棺樒麿鑠杓耘杞柄析楯楴籟榮楠枋癪蕀癧夥穆穂積歴敕楫榧柏李枴核麻栄樂鬱黏鉢懆秧礫噪礬秒秦麕慄櫻櫨辣麼麩樗棲根耡柁嗽杖枩緤襯果枕楙襴隸陳穎穗穃穩薐林楾楪枚楳蝌柎枷杏轢栞権黎巣篠棘栓味租秤眛萪凩噤媒科秬甃懋樔黍櫺轣樛架杜杁嬾廂籍寐楽穏委穀釐榻楚榴錬榔板剌榛杰杤麪棯裹棔標棠牀礎移萎囃探秩棡棕裸櫓樫櫪犂櫞栢来東榜杙榁耒枦榕槁寨体藉穰渠穫傑埜殊楔槎槃蝶杪松來勅榎珠杳枸森栴棚棣樽櫑棗蘂蘖弑擽揉萩採賚蘗横麥諜格校犁櫟杲枹概楜楕槍練襟渣穣譟整楹榲枉杢耜杭想耕枡樺棒樮櫛樣蘇牒蘓淋莠婪莉淅痢樢樶笨諫潸栫棧枠枯杷杣榊耨槊榾槇楸薪殺穢渫癩薬襃楝榱槌侏杵条榑杉杼枢繰和栽麭櫚棹栲呆烋凜矮称秘樵鬆模棟株銖耗杯剩杠榿楓襍構楊楞集燥踈穉穡躰相采雜椴保鶫椈綉柘柿桀梺桔懶梃梗愁彬彙嫻靂葉菘嫩梍愀檐檄桜梶棍橇桁柱椡槭躱磨妹溂藻椣鰍朸柳柾勦梨桃桎梔箘晰梛梏馥沐香秉梁暦梵檳橋術橸桍機梼橄桂恷琳俐季椶椢稟程稀稔倭鰊椽椦槹啝悸櫃桝閑梱築課框檎闌檗梅徠淞瀾逶貅洙臻檍梟棋桓械棄櫂槫簗喋槐椪稜罧稗醂蹂稚税抹躁攀廩椙椥槝蜊刺柩悧柵諌疎棆檻桑漱誅條檀凍菻瀬乗梓誄檜桐棊桟櫁梳柴査槞喇椰槓槧椿雑藾稍滌
未,藕朱茱魅耙蛛昧耘耡味眛籍寐釐耒藉殊珠耜耕耨侏株銖耗妹洙誅誄
末,靺沫茉秣抹
本,鉢体笨躰
札,紮
朮,述術
朱,茱蛛殊珠侏株銖洙誅
朶,躱
朿,策蕀棘棗刺
杉,彬
束,悚柬速獺欄爛竦頼揀蘭籟敕辣嗽襴嬾剌勅整諫癩楝踈鶫懶嫩溂鰊闌瀾疎漱瀬喇藾
来,莱
東,煉鶇蘭陳錬練棟諌凍
松,鬆菘淞
析,蜥皙淅晰
林,魔縻禁嘛靡爨瀝糜摩梦焚麓麾痳霖痲麿癧歴麻麼噤轣楚礎櫪埜森襟淋婪潸梺彬靂磨暦梵琳罧醂菻
果,菓剿顆踝夥巣樔裹裸彙勦課
某,謀煤楳媒
柔,鞣糅揉蹂
柬,欄爛揀襴諫楝鶫鰊闌瀾
査,渣
栗,篥慄
桀,磔傑
桼,漆
梁,簗
條,篠滌
棘,蕀
楚,礎
楽,檪薬
榮,蠑
樂,爍藥鑠礫轢擽櫟
樊,礬攀
欠,欹厥欸嵌羨篏吹瓷飮蹶歙掀蕨嗽歡歉蠍歓歇諮咨闕姿歐軟歟歌粢炊歔歛慾歃歎飲獗坎欧款恣欽欲懿茨盗欷欣欺次盜漱資
次,瓷諮咨姿粢恣懿茨盗資
欣,掀
欲,慾
歇,蠍
止,齟政瀕贇髭嫣堽啣齒征瀝砦企齔頻武眄歪斌歳捗鉦癧此歯歴蕋耻呰正莚轣紫渋渉麪澀趾涎噛眥澁櫪証歸焉凪眦顰歩整篶賦雌穢陟錻蘋齬靂祉症誕齲齦柾徙嘴卸阯址齪齧齷齣延鵡囓御疵蜑肯觜齢齶齠筵禦沚些貲蜒柴齡
正,政嫣堽啣征眄歪鉦莚麪涎証焉整篶症誕柾卸延御蜑筵禦蜒
此,髭砦呰紫眥眦雌嘴疵觜些貲柴
武,贇斌賦錻鵡
歩,瀕頻捗渉顰陟蘋
歯,噛齢
歳,穢
歴,瀝癧轣櫪靂
歹,洌列烈屍殘薨殤殫歿夙殪死斃殯餮殉殄残例殱殊殞殆殲殍殖殃殕殀薤冽葬裂
死,屍薨斃葬
殄,餮
殳,投芟役酘疫醫磐馨没廢磬撃般搬骰廏鑿癈臀慇繋緞發穀殿毅槃設毆殺翳殷段殼癜澱轂燬殻殴毀盤椴愨撥葮聲股鍛謦瘢
段,緞椴葮鍛
殷,慇
殿,臀癜澱
毀,燬
毋,姆悔拇貫栂莓繁樌纛海實侮敏慣塰母毎苺毓誨晦毒袰梅
母,姆拇栂莓苺誨袰
毎,悔莓繁海侮敏塰毓誨晦梅
毒,纛
比,箆豼混箟毘批麒麝秕麓庇枇楷篦麑纔麌蓖麟麋屁焜粃麕麁麗菎鯤紕鹿轆崑陛皆階昆偕灑塵麈讒驪儷諧鏖揩漉棍貔砒妣巉琵
毛,毳竓瓱尾髦旄麾粍耄氈耗梶橇毟毫毬毯
毳,橇
氏,抵祗祇柢羝砥岻邸氓牴胝岷民婚緡底紙鴟棔舐低眠泯昏罠觝帋愍詆
氐,抵邸底
民,氓岷緡眠泯罠愍
气,汽愾氛気氤氣
氣,愾
水,湶詠泉脉尿線怺泳丞永拯昶踏楾咏潁樣氷腺鞜沓閖盥汞冰蒸漾承烝漿
氵,溯湮漁漕濶懣添淨洗瀏瀛瀕瀁淵汰漏演濺簿滉湶湯漂油汲淺洛汽混瀚茫沙汪洩汾沸沫汳染溢羨漓濘箔決洌沈瀝瀞汢洋洸淳没洟漆濱溪湿湫湘溥湲漸濳濾深池洒沮淙瀑蒲瀟菠瀋淘沢洞漑鯊溘湧湾減滷粱潭澡蘯泙浴泱灣萢慂潺潮温薀渕滴渚蕩潼涯海浣浮消泳潯澣潴渝潘澪潰潤浦涙灘涸浪婆笵碆渓渇滿渊滲薄清鴻澤浬浙注霑落浤莎塗澹潦滾游渋渟渡渉激澀流浩浜氾萍涎霈泥澁濁裟港窪済渠渭潔潛濃澗澎泪涼泓涵涕涜涛塰淀浚泝澂潜濂渺滔渮滯渣渾滸濆潅澆波淋霪涅灑灌涌淌泗泣淅潸澳潟滬渦滑滓渫滞渤澱匯澑浸法淇泡浄涓泯泛浅淆浹液澄滝渥渙測湖湍溜漠濮沾汐泊洶河淕江淡瀉沒沽漉溏満湎湃溶滂溂盪藻準濯漣濛濠濔洵沿泄沐沌沱活泅汝泌淮梁濕濡漢酒藩湛溷溺湟蔆琺漲濬況娑洫淪沼淞瀾瀧沁瀦瀲沛治津汗洙汎淒汚淦愆濟濫衍漾濤簗溝溽溲滄湊滋溟源盜漬漱洪派淤汁洳淫汕沍瀘沂瀰范沖沃沚瀬洲淬淹汀沺洽汨淑闊漫溌滌滅
永,詠脉怺泳昶咏樣漾
氺,桼逑黐藜藤糠様禄漆球暴瀑爆裘曝泰剥膝函籐救緑黏隸康黎黍鱇碌隶慷隷滕録剝棣涵毬求逮靆祿
氾,笵范
求,逑球裘救毬
江,鴻
沓,踏鞜
沙,鯊莎裟娑
沛,霈
沾,霑
泉,湶線楾腺
泊,箔
法,琺
泙,萍
泡,萢
波,菠婆碆
洛,落
活,闊
浦,蒲
海,塰
涌,慂
淫,霪
淮,匯
温,薀
湯,蘯蕩盪
溥,簿薄
滕,藤籐
滿,懣
潘,藩
澡,藻
火,爍煉燈詼爨爛鍬煢燉煽啾爐秋烱烙鞦逖湫煬煙煥烽爆煤燻焚痰炯炉燵燼焔餤塋炮灯灼炭蠑耿榮焜灰炙災炬炸甃燿螢犖燔燠燭焼萩炎燗燮癆燧樮炊炳灸炒狄瑩楸燦焙燒燐營荻燬燹燥煩畑愁淡愀燃燎熕煖鰍恢勞啖熨熔熄撈烟談毯熾鶯煌滅
灬,鵆鰯鵝鰈鰻漁黥黑鮗嶌鮃鮎馳駆嶋鮖鵞鷄鰉鰡騷熈煮鵑鰺鷆鰮鶲勳黝鮨鯏黒鮴鯀魚駄駅贐嫣壥點勲鶇鰭鵄鵐羔熙蹠騫騰煦熬熹鳥鰲鶺鶚鮑駁馼嘸馴鮟鵁鳫鵜鰾鷂蔦照騙騾鶴鶻鰥鷏鶏鯆黠黔黯黛鮒撚壗鮓黜鯊鰰廡鰤鶩鷁鳧羆驕碼驩燻癬偽鱗鴬鱚鷦瑪鯛鯔憔駸駟駐烈駑鯡篤鴿鴫鷓燼驛驀驂驍鷹鴦鯣駒駝鯢鯖鴪鴾鷸驚驃驗薊鷯鴣鯒駢駭嚥駮鱸驟鴈鴻鱆鱒鯑憑纒駕点遮駛媽墨鯤鷭鱇庶鴉寫驅然燕鱶鴟杰鯵駱烏駿駘櫓鯨鷲鷽無焉鴇嗚駲儘為礁蘚憮闖覊鱈鱠鴆鴒鷙蕉驢顯窯薦隰篶蘇蘓儻樢潟鯲鴃鴎譌驪驥鱧鴕鯰駻烋塢樵鯱鷺鴛鴨焦薫隲讌蕪驤驫羮騎僞煕鰕鶸鶫鳶鶤默鮭鸞瀉魯魴黙鮮鰛鵲鰔艪燃罵騨騏蔗羈鳩鵤鰍鯉馬撫臙鮠濕鵬鵙鳴煎熏騁熟羹騅鰊鳰鰓鵡黶鮫駈冩蒸烹鮹鸛黷鰆鵠鰒鵯鵈熱熊騒盡鳳鰄鰐鶉鮪爲馮烝馭黨黴鸚鶯鵺鰹鰌醺験
灰,詼炭恢
炎,痰餤淡啖談毯
為,偽
烏,嗚塢
烝,蒸
焉,嫣篶
無,嘸廡憮蕪撫
焦,鷦憔礁蕉樵
然,撚燃
熊,羆
熏,勳燻醺
燕,嚥讌臙
爪,抓笊爬
爭,淨箏瀞崢錚靜諍
爰,暖湲媛緩援煖
爲,譌僞
爵,嚼
父,交較鵁絞効佼駮蛟纐咬郊校斧效傚釜餃皎爺狡鮫
爻,彌欝攪駁禰學黌樊礬鷽璽邇覺濔爼攀爽瀰爾
爾,彌禰璽邇濔瀰
爿,贓臧妝臟蔣壯莊藏鏘寢弉寤寐牀裝牆奬獎奘將漿
片,版牘牒牌牋
牙,芽邪訝鴉谺穿呀雅冴
牛,靠酷蟹誥桙牡犢遲眸牴惣牢鉾犠製鴾牾牧牲牽蠏窖犧件皓浩掣物懈犖犂犀犁牝邂慥犒特牟告犇穉晧梏吽鵠解造制廨
牟,桙眸鉾鴾
物,惣
犀,遲穉
犬,壓獣魃嶽獻髮厭祓茯倏撚伏秡憖拔飆然状猷献跋獎默闃吠哭黙燃袱靨嗅黶獄獸魘黻
狂,誑
狄,逖荻
猪,潴
猶,蕕
獄,嶽
玄,絃茲蓄磁弦蟀牽舷鉉眩慈呟衒孳率滋痃畜
率,蟀
玉,壬閠国宝璧掴璽瑩椢筺王
王,玉筌筐詮珈琅鰉抂酲逞汪閠理国往徴徨篁聖球鍠宝瑳瑾瑪鬮駐凰斑蝗瑤瑰璧掴呈瑙璢鬥潤瑠瑯珱瑶現栓注鬧鬪瑣玲隍皇珮註狂銓環瑞班璋寶璽惶珠鬩遑弄澂鬨瑟瓊璞住璃寳枉珥瑛麈瑕珸瑁瑩瑜碧瑚瓏主匡珞珪琥玻珀哢痊鐵琿柱玩廳琲珎蟶閏對珂聽珍琳玖椢程湟瓔玲琺框筺望琶珊琢玳旺琴誑郢全懲琵琉煌
瓜,柧弧呱菰瓠觚孤瓣狐瓢
瓦,瓲瓰瓱瓩瓶瓷甓甄甌甅甑甕甍甃甎瓧瓸瓮
甘,謀柑勘尠箝某稘廝嵌堪蚶酣篏撕其厮箕椹旗煤斟基戡碁麒甞紺籏甜憇糂拑楳邯媒甚鉗碪斯淇簸朞嘶疳騏坩期祺湛棋欺棊鍖
甚,勘尠堪椹斟戡糂碪湛鍖
甜,憇
生,嶐徃薩猩旌姓窿笙牲性甦星甥腥惺産隆醒
産,薩
用,糒逋哺簿桶愽通誦溥鯆脯蒲輔備樋賻捕慂圃膊踊鼡鯒匍蛹浦憊傭薄猟蝋傅庸慵甬甫埔舗餔搏涌舖敷榑痛補葡鞴俑鋪尃縛黼博
甫,逋哺簿愽溥鯆脯蒲輔賻捕圃膊匍浦薄傅埔舗餔搏舖敷榑補葡鋪尃縛黼博
甬,桶通誦樋慂踊鯒蛹涌痛俑
田,押俾鰯伸廬鰈鰻蟠魔漁魏鮗畤鮃異畫鮎畿禺留略鮖演魁獣單廸糞鰉鰡抻罍雷藕鰺鰮魃鮨鯏橿魎鮴鯀魚畳畧単番油彊娉睥菓福脾虜畦魍魂胄鰭褝謂謖毘飜富鰲寅柚鐇疉閘畭爐當鮑畢神蒐蓄禅堺畷鮟愧巍緇鰾坤僵釉抽旛騾鰥勵胃鯆衡縲輜魑濾魅嵎畉鮒臚嫐擂禝瀋畴畠鮓蚰魄鯊鰰鰤湧稷鼾偲癬鱗累幅鱚螺鑢剿鯛鯔匐弾塊餾捜餽膰呷鯡嬶鴫癘戴蕃顆殫隈踝顋舳瑰憚憎轤鯣甸描呻甑鬼鯢鯖鼬夥髀穂薊籀璢鯒潘膚塁増萬痺櫨瑠寓果紳襠鱸戦鼻戰嬲鱆紬鱒胛鑪鯑巣痩礪届樔裨鯤錨蝟副鷭鱇細偶苗碑薑翻舅鱶審榴錙蝉裹鯵狎甲遇囎曽申慮闡裸櫓鯨勇蝠鄲燔隗翼顱軸渭襌篳櫑由甥嚏婢嚔蘚鱈鱠驢顰嬋層画匣蘇蘓礑儡蘆甼笛鯲榊隅驥幡佃劃鱧猥岫鯰蠣牌町澑男嚊邁霤噌腮繙鯱岬思猫鴨蕾傀踴蔔溜僧鰕恵聘疆鮭箪畑界娚彙畸畋畐畄魯迪疊魴疇鮮鰛糲鰔艪騨瘤瘰盧旙鰍鐺勦鯉専卑畆畝壘冑畊鈿愚鮠嵬蟷艫藩騁蹕醜奮鰊鰓課鮫畚暢冨贈冀畍鮹宙獸鰆鰒鵯槐喟稗鰄鰐魘鮪輻畏畛畔彈瀘逼播沺禪畜畩袖疂鰹鰌
由,演廸油娉胄寅柚釉抽蚰舳鼬穂紬届軸画岫恵聘迪専冑騁宙袖
